id,timestamp,package_name,additional_data,research_experiment,experiment_group,video_title,video_id
473125,1749513131,ai.elimu.filamu,,,,चिड़िया,1
473126,1749513177,ai.elimu.filamu,{'video_playback_position_ms': 28501},,,चिड़िया,1
473127,1749513255,ai.elimu.filamu,,,,चिड़िया,1
473128,1749513285,ai.elimu.filamu,{'video_playback_position_ms': 22863},,,चिड़िया,1
473129,1749513328,ai.elimu.filamu,,,,चिड़िया,1
473130,1749513385,ai.elimu.filamu,{'video_playback_position_ms': 43050},,,चिड़िया,1
473131,1749513424,ai.elimu.filamu,,,,चिड़िया,1
473132,1749513470,ai.elimu.filamu,{'video_playback_position_ms': 57517},,,चिड़िया,1
473133,1749513522,ai.elimu.filamu,,,,चिड़िया,1
473134,1749513555,ai.elimu.filamu,{'video_playback_position_ms': 39810},,,चिड़िया,1
473135,1749513610,ai.elimu.filamu,,,,चिड़िया,1
473136,1749513644,ai.elimu.filamu,{'video_playback_position_ms': 3345},,,चिड़िया,1
473137,1749513717,ai.elimu.filamu,,,,चिड़िया,1
473138,1749513753,ai.elimu.filamu,{'video_playback_position_ms': 6502},,,चिड़िया,1
473139,1749513826,ai.elimu.filamu,,,,चिड़िया,1
473140,1749513849,ai.elimu.filamu,{'video_playback_position_ms': 49689},,,चिड़िया,1
473141,1749513892,ai.elimu.filamu,,,,चिड़िया,1
473142,1749513931,ai.elimu.filamu,{'video_playback_position_ms': 25947},,,चिड़िया,1
473143,1749513983,ai.elimu.filamu,,,,चिड़िया,1
473144,1749514027,ai.elimu.filamu,{'video_playback_position_ms': 26804},,,चिड़िया,1
473145,1749514110,ai.elimu.filamu,,,,चिड़िया,1
473146,1749514156,ai.elimu.filamu,{'video_playback_position_ms': 2880},,,चिड़िया,1
473147,1749514222,ai.elimu.filamu,,,,चिड़िया,1
473148,1749514230,ai.elimu.filamu,{'video_playback_position_ms': 43209},,,चिड़िया,1
473149,1749514278,ai.elimu.filamu,,,,चिड़िया,1
473150,1749514337,ai.elimu.filamu,{'video_playback_position_ms': 1336},,,चिड़िया,1
