id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,video_title,video_id
448558,1749518225,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448559,1749518243,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 38117},,,piper,1
448560,1749518342,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448561,1749518370,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 44445},,,piper,1
448562,1749518466,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448563,1749518512,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 16009},,,piper,1
448564,1749518598,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448565,1749518656,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 5997},,,piper,1
448566,1749518733,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448567,1749518772,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 45076},,,piper,1
448568,1749518863,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448569,1749518884,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 48838},,,piper,1
448570,1749518951,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448571,1749518973,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 29400},,,piper,1
448572,1749519030,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448573,1749519056,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 4091},,,piper,1
448574,1749519132,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448575,1749519142,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 54227},,,piper,1
448634,1749785798,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448635,1749785836,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 46001},,,piper,1
448636,1749785940,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448637,1749785957,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 33964},,,piper,1
448638,1749786058,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448639,1749786071,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 36173},,,piper,1
448640,1749786180,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448641,1749786218,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 23458},,,piper,1
448642,1749786259,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448643,1749786313,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 36495},,,piper,1
448644,1749786405,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448645,1749786425,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 18185},,,piper,1
448646,1749786471,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448647,1749786485,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 53557},,,piper,1
448648,1749786525,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448649,1749786530,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 16115},,,piper,1
448650,1749786598,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448651,1749786620,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 3442},,,piper,1
448652,1749786672,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448653,1749786732,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 41823},,,piper,1
448654,1749786825,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448655,1749786843,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 54871},,,piper,1
448656,1749786960,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448657,1749786968,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 29551},,,piper,1
448658,1749787026,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
448659,1749787033,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 40969},,,piper,1
448660,1749787086,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
