id,timestamp,package_name,additional_data,research_experiment,experiment_group,video_title,video_id
4521557,1749514875,ai.elimu.filamu,,,,piper,1
4521558,1749514925,ai.elimu.filamu,{'video_playback_position_ms': 53159},,,piper,1
4521559,1749515039,ai.elimu.filamu,,,,piper,1
4521560,1749515086,ai.elimu.filamu,{'video_playback_position_ms': 30594},,,piper,1
4521561,1749515200,ai.elimu.filamu,,,,piper,1
4521562,1749515232,ai.elimu.filamu,{'video_playback_position_ms': 3388},,,piper,1
4521563,1749515259,ai.elimu.filamu,,,,piper,1
4521564,1749515304,ai.elimu.filamu,{'video_playback_position_ms': 22717},,,piper,1
4521565,1749515335,ai.elimu.filamu,,,,piper,1
4521566,1749515354,ai.elimu.filamu,{'video_playback_position_ms': 43038},,,piper,1
4521567,1749515423,ai.elimu.filamu,,,,piper,1
4521568,1749515471,ai.elimu.filamu,{'video_playback_position_ms': 7921},,,piper,1
4521569,1749515529,ai.elimu.filamu,,,,piper,1
4521570,1749515587,ai.elimu.filamu,{'video_playback_position_ms': 13510},,,piper,1
4521571,1749515611,ai.elimu.filamu,,,,piper,1
4521572,1749515663,ai.elimu.filamu,{'video_playback_position_ms': 11649},,,piper,1
4521573,1749515705,ai.elimu.filamu,,,,piper,1
4521574,1749515737,ai.elimu.filamu,{'video_playback_position_ms': 29158},,,piper,1
4521575,1749515815,ai.elimu.filamu,,,,piper,1
4521576,1749515860,ai.elimu.filamu,{'video_playback_position_ms': 23002},,,piper,1
4521577,1749515880,ai.elimu.filamu,,,,piper,1
4521578,1749515921,ai.elimu.filamu,{'video_playback_position_ms': 2290},,,piper,1
4521579,1749690597,ai.elimu.filamu,,,,piper,1
4521580,1749690648,ai.elimu.filamu,{'video_playback_position_ms': 37039},,,piper,1
4521581,1749690665,ai.elimu.filamu,,,,piper,1
4521582,1749690718,ai.elimu.filamu,{'video_playback_position_ms': 37566},,,piper,1
4521583,1749690817,ai.elimu.filamu,,,,piper,1
4521584,1749690872,ai.elimu.filamu,{'video_playback_position_ms': 47441},,,piper,1
4521585,1749690979,ai.elimu.filamu,,,,piper,1
4521586,1749691016,ai.elimu.filamu,{'video_playback_position_ms': 34971},,,piper,1
4521587,1749691060,ai.elimu.filamu,,,,piper,1
4521588,1749691116,ai.elimu.filamu,{'video_playback_position_ms': 40157},,,piper,1
4521589,1749691233,ai.elimu.filamu,,,,piper,1
4521590,1749691261,ai.elimu.filamu,{'video_playback_position_ms': 41520},,,piper,1
4521591,1749691373,ai.elimu.filamu,,,,piper,1
4521592,1749691433,ai.elimu.filamu,{'video_playback_position_ms': 29067},,,piper,1
4521593,1749691526,ai.elimu.filamu,,,,piper,1
4521594,1749691559,ai.elimu.filamu,{'video_playback_position_ms': 41734},,,piper,1
4521595,1749691637,ai.elimu.filamu,,,,piper,1
4521596,1749691655,ai.elimu.filamu,{'video_playback_position_ms': 29084},,,piper,1
4521597,1749691696,ai.elimu.filamu,,,,piper,1
4521598,1749691698,ai.elimu.filamu,{'video_playback_position_ms': 46272},,,piper,1
4521599,1749691738,ai.elimu.filamu,,,,piper,1
4521600,1749691761,ai.elimu.filamu,{'video_playback_position_ms': 15108},,,piper,1
4521601,1749691827,ai.elimu.filamu,,,,piper,1
4521602,1749691849,ai.elimu.filamu,{'video_playback_position_ms': 21179},,,piper,1
4521701,1749776326,ai.elimu.filamu,,,,piper,1
4521702,1749776352,ai.elimu.filamu,{'video_playback_position_ms': 59715},,,piper,1
4521703,1749776437,ai.elimu.filamu,,,,piper,1
4521704,1749776494,ai.elimu.filamu,{'video_playback_position_ms': 49817},,,piper,1
4521705,1749776553,ai.elimu.filamu,,,,piper,1
4521706,1749776592,ai.elimu.filamu,{'video_playback_position_ms': 55823},,,piper,1
4521707,1749776610,ai.elimu.filamu,,,,piper,1
4521708,1749776615,ai.elimu.filamu,{'video_playback_position_ms': 59197},,,piper,1
4521709,1749776649,ai.elimu.filamu,,,,piper,1
4521710,1749776688,ai.elimu.filamu,{'video_playback_position_ms': 42907},,,piper,1
4521711,1749776808,ai.elimu.filamu,,,,piper,1
4521712,1749776812,ai.elimu.filamu,{'video_playback_position_ms': 33176},,,piper,1
4521713,1749776884,ai.elimu.filamu,,,,piper,1
4521714,1749776937,ai.elimu.filamu,{'video_playback_position_ms': 2108},,,piper,1
4521715,1749777049,ai.elimu.filamu,,,,piper,1
4521716,1749777083,ai.elimu.filamu,{'video_playback_position_ms': 17883},,,piper,1
4521717,1749777152,ai.elimu.filamu,,,,piper,1
4521718,1749777175,ai.elimu.filamu,{'video_playback_position_ms': 41400},,,piper,1
4521719,1749777263,ai.elimu.filamu,,,,piper,1
4521720,1749777285,ai.elimu.filamu,{'video_playback_position_ms': 58876},,,piper,1
4521721,1749777304,ai.elimu.filamu,,,,piper,1
